fid,liansai,Lteam,L进,L失,Rteam,R进,R失,time,平均初盘胜,平均即时胜,平均初盘平,平均即时平,平均初盘负,平均即时负,离散初盘胜,离散即时胜,离散初盘平,离散即时平,离散初盘负,离散即时负,初盘胜,初盘平,初盘负,胜,平,负,平均即时大,平均即时盘口,平均即时小,平均初盘大,平均初盘盘口,平均初盘小,最高即时大,最高即时盘口,最高即时小,最高初盘大,最高初盘盘口,最高初盘小,最低即时大,最低即时盘口,最低即时小,最低初盘大,最低初盘盘口,最低初盘小,赛果
1086623,友谊赛,德国,2.53,1.07,秘鲁,1.33,0.47,2023-03-26 03:45,1.26,1.3,5.39,5.18,9.92,9.37,6.45,3.71,49.47,30.04,174.02,65.6,0.9,0.97,1,0.93,0.94,0.94,0.84,2.69,0.99,0.86,2.88,0.97,0.58,2.5/3,0.84,0.53,3,0.73,0.94,2.5,1.22,1.02,2.5,1.3,主胜
1086388,欧洲杯,白俄罗斯,0.67,1.27,瑞士,1.2,1.6,2023-03-26 01:00,10.84,15.1,5.4,6.27,1.26,1.2,204.4,260.45,64.42,49.41,14.92,4.94,0.66,0.81,1,0.94,0.95,0.94,0.89,2.69,0.96,0.87,2.67,0.93,0.61,2.5/3,0.89,0.53,2.5/3,0.8,1,2.5,1.17,1.01,2.5,1.33,客胜
1086390,欧洲杯,以色列,2.07,2.27,科索沃,1.47,1.47,2023-03-26 01:00,1.89,1.96,3.38,3.51,3.96,3.79,6.67,7.96,15.57,12.55,31.46,28.68,0.89,0.93,1.01,0.95,0.94,0.94,0.86,2.55,0.97,0.9,2.3,0.88,0.73,2.5/3,0.83,0.8,2.5,0.65,1.07,2.5,1.07,1.1,2/2.5,0.97,平局
1046711,英甲,朴茨茅斯,1.47,1,维尔港,0.93,1.6,2023-03-25 23:00,1.98,2.15,3.31,3.19,3.64,3.36,9.31,13.29,14.15,12.25,19.15,28.64,0.93,0.93,0.91,0.93,0.93,0.93,1.02,2.31,0.81,0.87,2.31,0.9,0.74,2.5,0.6,0.74,2.5,0.65,1.25,2/2.5,0.9,1.1,2/2.5,1.03,平局
1047264,英乙,克劳利,1.13,1.8,罗奇代尔,1,1.47,2023-03-25 23:00,2.26,2.13,3.29,3.36,2.98,3.24,21.06,6.37,9.32,11.34,30.43,19.63,0.94,0.92,0.9,0.93,0.93,0.93,0.84,2.44,1.02,0.98,2.5,0.79,0.25,2.5,0.69,0.91,2.5,0.69,0.94,1.5,2.4,1.02,2.5,0.85,主胜
1047270,英乙,曼斯菲尔德,1.73,1.2,瑟顿联,1.4,0.8,2023-03-25 23:00,2.05,2.22,3.35,3.2,3.38,3.19,20.78,14.41,22.02,13.51,43.94,21.24,0.87,0.97,0.97,0.93,0.93,0.93,0.97,2.27,0.88,0.93,2.5,0.83,0.35,2.5,0.6,0.86,2.5,0.65,1.25,1.5,1.8,1.05,2.5,0.93,平局
1047273,英乙,斯文登,1.67,1.4,斯托克港,1.2,0.73,2023-03-25 23:00,3.23,3.32,3.21,3.26,2.16,2.13,17.52,20.15,7.5,10.4,16.2,9.53,0.92,0.92,0.93,0.93,0.93,0.93,0.88,2.25,0.96,0.94,2.34,0.83,0.35,2.5,0.67,0.79,2.5,0.61,1.1,1.5,1.8,1.15,2/2.5,0.95,客胜
1086218,欧洲杯,苏格兰,1.67,1,塞浦路斯,0.8,2.07,2023-03-25 22:00,1.23,1.17,5.6,6.95,11.56,17.43,4.21,9.29,31.68,101.47,146.02,334.29,0.94,0.92,0.84,0.95,0.95,0.95,0.9,2.88,0.96,0.89,2.66,0.88,0.54,3,0.82,0.69,2.5/3,0.75,1.07,2.5,1.3,1.05,2.5,1.04,主胜
1077476,日职乙,东京绿茵,1.47,0.6,熊本深红,1.6,1.27,2023-03-25 14:00,2.29,1.88,3.16,3.31,3.08,4.05,250.4,54.89,14.05,12.85,126.49,70.42,1.08,0.9,0.75,0.92,0.92,0.92,0.91,2.3,0.93,0.99,2.3,0.83,0.8,2.5,0.67,0.74,2.5,0.57,1.1,2/2.5,1.02,1.3,2/2.5,1.08,主胜
1077472,日职乙,大宫松鼠,1.27,1.33,大分三神,1.53,1.13,2023-03-25 13:00,3.11,3.15,3.13,3.13,2.21,2.23,29.69,13.74,7.36,9.98,19.53,13.55,0.91,0.92,0.92,0.92,0.92,0.92,0.97,2.3,0.86,0.99,2.32,0.83,0.84,2.5,0.61,0.83,2.5,0.57,1.15,2/2.5,0.95,1.25,2/2.5,0.98,主胜
1077473,日职乙,德岛漩涡,1.2,1.13,秋田蓝色闪电,1.07,0.4,2023-03-25 13:00,2.26,2.57,2.94,2.77,3.26,3.01,23.45,64.37,21.78,14.92,89.6,43.75,0.81,0.98,1,0.92,0.92,0.92,1.08,1.83,0.83,0.98,1.98,0.89,0.65,2.5,0.36,0.5,2.5,0.36,1.9,1.5,1.1,1.88,1.5,1.4,平局
1077475,日职乙,长崎航海,0.93,1.67,山形山神,1.53,0.87,2023-03-25 13:00,2.79,2.47,3.14,3.12,2.42,2.79,36.51,28.86,8.53,9.78,21.61,36.71,0.98,0.93,0.85,0.92,0.92,0.92,0.92,2.32,0.92,1,2.42,0.81,0.83,2.5,0.67,0.82,2.5,0.61,1.1,2/2.5,1.02,1.15,2/2.5,0.94,主胜
1083045,日联杯,磐田喜悦,1.07,1.6,札幌冈萨多,1.87,1.4,2023-03-25 13:00,3.43,4.38,3.45,3.82,1.96,1.7,31.22,111.67,16.99,26.83,25.58,43.31,0.83,0.87,0.99,0.93,0.93,0.93,0.86,2.7,0.98,0.95,2.63,0.87,0.65,2.5/3,0.85,0.73,2.5/3,0.74,0.94,2.5,1.1,1.17,2.5,1,客胜
1071762,墨西联,马萨特兰,1.07,2.4,莱昂,1.4,0.73,2023-03-25 11:05,2.83,4.11,3.32,3.49,2.38,1.83,106.19,103.98,16.94,14.75,193.35,78.08,0.65,0.89,1.2,0.93,0.93,0.93,0.9,2.45,0.97,0.91,2.65,0.91,0.3,2.5/3,0.7,0.63,2.5/3,0.76,1.25,1.5,2.2,1.05,2.5,1.13,客胜
1072754,爱甲,费恩哈普,0.93,2,科布漫步者队,1.4,1.53,2023-03-25 04:00,2.42,2.47,3.26,3.14,2.67,2.73,69.08,58.12,11.69,8.97,72.43,52.38,0.9,0.95,0.9,0.92,0.92,0.92,0.93,2.3,0.88,0.85,2.5,0.91,0.83,2.5,0.61,0.8,2.5,0.84,1.15,2/2.5,0.98,0.94,2.5,1.05,平局
1042321,苏冠,因弗内斯,1.67,1.67,帕尔蒂克,1.4,0.93,2023-03-25 03:45,3.15,2.95,3.31,3.19,2.09,2.29,18.89,16.74,7.58,9.1,10.21,16.87,1,0.95,0.83,0.92,0.92,0.92,0.88,2.3,0.93,0.87,2.5,0.89,0.81,2.5,0.67,0.8,2.5,0.72,1.1,2/2.5,1.03,1.04,2.5,0.97,主胜
